sku,price_per_box,supervisor_target_boxes,brand_name_thai,brand_name_english,product_name_thai
291047,523.59,5,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟสูตรอนามัย550มล.ชนิดถุงเติมP3
291039,523.59,5,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟสูตรอนามัย550มล.ชนิดถุงเติม(ถุงเดี่ยว)
291286,747.14,13,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟเจแปนนีสยูซุ ชนิดขวด475มล.
292144,487.89,5,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟเอ็กซ์ตร้าไฮจีนิคขนาด485มล.
370528,1445.0,112,คิวลีน,Qlean,คิวลีนสูตรลดผมร่วง300มล.ถุงเติม
221713,420.74,5,คิวลีน,Qlean,คิวลีนสูตรเย็น70มล.
370486,420.74,5,คิวลีน,Qlean,คิวลีนแชมพูสูตรลดผมร่วง70มล.
373415,420.74,5,คิวลีน,Qlean,คิวลีนแชมพูสูตรผมนุ่มลื่น70มล.
210161,385.2,135,ซื่อสัตย์,SUE-SAT,ซื่อสัตย์ผงซักฟอก700ก.(24)
141143,1444.99,76,โชกุบุซึ,Chogubuze,โชกุบุสซึสบู่เหลวอนามัยพรีไบโอติกสูตรอ่อนโยน150ml
141150,1441.99,65,โชกุบุซึ,Chogubuze,โชกุบุสซึสบู่เหลวอนามัยพรีไบโอติกสูตรสดชื่น150ml
133298,484.49,5,โชกุบุซึ,Chogubuze,โชกุบุสซึ ฟรุ๊ตตี้เฟรชไบรท์เทนนิ่งเฟรชโพรเทค100มล.
133306,484.49,5,โชกุบุซึ,Chogubuze,โชกุบุสซึ ฟรุ๊ตตี้เฟรชเฮลตี้พลัสโพรเทค100มล.
141184,900.15,5,โชกุบุซึ,Chogubuze,โชกุบุสซึสบุ่เหลวอนามัยพรีไบโอติก สูตรอ่อนโยน 60ml
